                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.31703,                0.29906,                0.89634,                0.96443,                0.93679,                0.97156,                0.94486,                0.26133,                0.27929,                 0.8422,             0.00017069,             0.00017069,             0.00017069
                     37,                0.30376,                0.29655,                0.89032,                0.96257,                0.93078,                0.97469,                 0.9498,                0.26518,                0.27842,                0.84225,             0.00015968,             0.00015968,             0.00015968
                     38,                 0.3191,                0.30501,                0.88941,                0.97033,                0.93229,                0.97785,                0.95479,                0.26821,                0.26471,                0.83817,             0.00014867,             0.00014867,             0.00014867
                     39,                0.28273,                0.27448,                0.87792,                0.96573,                0.94372,                0.97883,                 0.9541,                0.26446,                0.25511,                0.83555,             0.00013767,             0.00013767,             0.00013767
                     40,                0.29548,                0.28032,                 0.8819,                0.97774,                0.93742,                0.97881,                0.95385,                0.25921,                0.25011,                0.83268,             0.00012666,             0.00012666,             0.00012666
                     41,                0.25755,                0.22403,                0.83571,                0.97066,                0.94349,                0.97681,                  0.953,                0.26442,                0.26769,                0.82893,             0.00011565,             0.00011565,             0.00011565
                     42,                0.23338,                 0.2011,                0.82076,                0.97628,                0.93588,                0.97706,                0.94936,                0.26362,                0.27486,                0.82668,             0.00010464,             0.00010464,             0.00010464
                     43,                0.23653,                0.20113,                0.83396,                0.97193,                0.94025,                0.97623,                0.95099,                0.26132,                0.27559,                0.82912,              9.363e-05,              9.363e-05,              9.363e-05
                     44,                0.23132,                0.19618,                0.82495,                0.97639,                0.93613,                0.97745,                0.95471,                0.25792,                0.26533,                0.82802,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     45,                0.23492,                0.19189,                0.82637,                0.97179,                0.94348,                0.97726,                0.95796,                0.25083,                0.25487,                0.82531,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     46,                0.22445,                0.18528,                0.82545,                0.96923,                0.94586,                0.97708,                0.95399,                0.24996,                0.25423,                0.82436,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     47,                0.22081,                0.18477,                0.81926,                0.98073,                0.93765,                0.97662,                0.95456,                0.24694,                0.25442,                0.82279,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     48,                0.21188,                0.17561,                0.82603,                0.96477,                0.94944,                 0.9771,                0.95779,                0.24365,                 0.2499,                0.82109,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     49,                0.21123,                0.17489,                0.82498,                0.97524,                0.94194,                0.97693,                0.95797,                0.24022,                0.24516,                0.82092,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     50,                0.20644,                0.17678,                0.81083,                0.96786,                0.94996,                 0.9763,                0.95758,                0.23915,                0.24749,                0.82044,             1.6569e-05,             1.6569e-05,             1.6569e-05
